Ministry of Agriculture & Farmers Welfare,,,,,,,,
Department of Agriculture & Farmers Welfare (DA&FW),,,,,,,,
"Top 3 Largest Producing States of Important Crops during Kharif Season, (2019-20 to 2024-25)",,,,,,,,
Source: DA&FW,,,,,,,,
Production in Lakh Tonnes,,,,,,,,
,,,Production,,,,,
Crop Category,Crop,State,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Food Grains,Rice,Uttar Pradesh,154.37,154.30,151.83,160.33,158.65,199.40
,,Punjab,117.79,127.84,128.85,129.91,143.56,142.45
,,West Bengal,113.41,118.55,122.05,107.79,109.47,121.18
,,All India,1022.77,1052.08,1110.01,1105.12,1132.59,1206.79
,Maize,Karnataka,37.40,46.74,45.18,46.15,47.53,49.02
,,Madhya Pradesh,39.86,37.94,46.07,46.21,42.74,65.79
,,Rajasthan,11.35,21.87,19.55,20.92,20.63,20.97
,,All India,194.29,215.55,226.81,236.74,222.45,248.11
,Jowar,Uttar Pradesh,2.27,2.75,2.70,3.15,4.62,4.46
,,Rajasthan,4.56,5.90,5.36,5.67,4.51,4.87
,,Madhya Pradesh,1.65,2.17,2.36,1.69,1.63,1.68
,,All India,16.97,19.86,15.98,14.80,15.09,21.84
,Bajra,Rajasthan,46.86,45.61,37.40,50.62,43.84,46.70
,,Uttar Pradesh,19.39,20.14,19.51,20.46,21.95,19.68
,,Haryana,10.19,13.50,11.20,12.00,11.61,9.73
,,All India,103.63,108.63,97.81,103.49,96.63,94.90
,Ragi,Karnataka,11.64,13.70,11.27,11.48,10.35,11.35
,,Tamil Nadu,2.75,2.89,2.27,2.07,2.44,1.97
,,Maharashtra,0.87,0.94,1.03,0.91,1.13,0.93
,,All India,17.55,19.98,17.01,16.91,16.70,16.92
,Small Millets,Madhya Pradesh,0.74,0.69,0.77,1.41,1.36,0.74
,,Uttarakhand,0.71,0.71,0.73,0.62,0.62,0.56
,,Uttar Pradesh,0.06,0.09,0.05,0.08,0.42,0.27
,,All India,3.71,3.47,3.67,3.84,4.49,3.86
,Tur,Karnataka,11.26,12.38,11.45,8.55,10.20,10.96
,,Maharashtra,10.84,13.28,13.91,9.25,8.93,12.61
,,Uttar Pradesh,2.79,2.97,3.55,3.64,3.95,1.11
,,All India,38.92,43.16,42.20,33.12,34.17,35.11
,Urad,Madhya Pradesh,4.63,3.95,7.78,7.76,5.02,2.37
,,Uttar Pradesh,2.13,2.82,2.56,2.38,4.42,2.38
,,Rajasthan,1.24,1.60,1.55,1.35,1.49,1.83
,,All India,13.30,15.07,18.65,17.68,16.04,12.82
,Moong,Rajasthan,12.99,14.02,9.06,11.75,8.13,10.00
,,Karnataka,1.38,1.73,1.46,1.88,0.89,2.23
,,Maharashtra,1.51,2.07,1.87,1.59,0.73,1.30
,,All India,18.26,19.96,14.80,17.18,11.54,15.00
,Other Pulses,Rajasthan,3.47,3.59,2.39,4.29,3.75,4.55
,,Odisha,1.01,0.80,0.89,0.87,1.05,0.23
,,Karnataka,1.11,0.56,0.53,0.51,0.84,0.96
,,All India,8.73,7.99,6.69,8.24,7.99,8.56
Oilseeds,Groundnut,Gujarat,45.03,39.91,43.58,44.08,45.08,50.37
,,Rajasthan,16.12,19.25,16.97,19.23,20.16,23.73
,,Madhya Pradesh,3.44,5.18,6.67,7.39,9.66,14.35
,,All India,83.89,85.28,84.34,85.62,86.60,104.26
,Castorseed,Gujarat,14.32,13.45,14.01,16.03,15.95,12.50
,,Rajasthan,3.27,2.76,1.99,3.47,3.25,3.12
,,Andhra Pradesh,0.26,0.06,0.03,0.14,0.25,0.15
,,All India,18.42,16.47,16.19,19.80,19.59,15.88
,Sesamum,Madhya Pradesh,1.26,1.95,1.22,1.46,1.22,1.38
,,Uttar Pradesh,0.66,0.98,0.71,0.84,1.19,1.27
,,Rajasthan,0.92,1.26,0.77,0.78,0.71,0.63
,,All India,6.57,8.17,7.89,3.92,3.95,4.14
,Nigerseed,Odisha,0.20,0.17,0.17,0.13,0.13,0.02
,,Chhattisgarh,0.10,0.10,0.05,0.05,0.05,0.05
,,Madhya Pradesh,0.02,0.05,0.03,0.03,0.03,0.03
,,All India,0.41,0.42,0.33,0.29,0.27,0.14
,Soybean,Madhya Pradesh,48.87,42.65,53.92,57.89,54.72,53.31
,,Maharashtra,48.25,62.63,55.00,66.16,52.58,72.75
,,Rajasthan,5.25,10.95,9.25,12.07,11.70,11.77
,,All India,112.26,126.10,129.87,149.85,130.62,151.32
,Sunflower,Karnataka,0.80,0.65,0.97,1.82,0.53,0.55
,,Tamil Nadu,0.00,0.01,0.02,0.05,0.02,0.01
,,Andhra Pradesh,0.01,0.01,0.04,0.08,0.02,0.02
,,All India,0.92,0.78,1.11,2.04,0.60,0.64
Commercial Crops,Sugarcane,Uttar Pradesh,1795.39,1783.39,1791.67,2242.46,2158.11,2070.02
,,Maharashtra,693.12,1051.38,1160.76,1239.68,1120.88,1102.15
,,Karnataka,381.81,425.28,611.52,593.46,418.11,364.62
,,All India,3705.00,4053.99,4394.25,4905.33,4531.58,4350.79
,Cotton,Gujarat,86.17,72.12,75.09,87.95,90.57,71.34
,,Maharashtra,66.39,101.05,82.49,83.16,80.45,89.09
,,Telangana,68.33,57.98,48.78,57.45,50.80,49.86
,,All India,360.65,352.48,311.18,336.60,325.22,294.25
,Jute,West Bengal,79.01,74.52,81.83,75.75,77.04,67.56
,,Bihar,6.47,6.18,7.13,6.30,7.85,7.72
,,Assam,7.92,7.74,7.43,6.89,6.58,6.95
,,All India,94.46,89.53,97.62,89.89,92.52,83.08
,Mesta,Bihar,1.55,1.69,1.39,1.43,2.00,0.75
,,West Bengal,1.66,1.41,1.71,1.72,1.62,1.56
,,Meghalaya,0.26,0.26,0.26,0.26,0.26,
,,All India,4.31,4.02,3.87,4.03,4.41,3.16
,Jute & Mesta,West Bengal,80.67,75.93,83.54,77.47,78.66,69.12
,,Bihar,8.02,7.87,8.52,7.73,9.86,8.47
,,Assam,8.12,7.94,7.62,7.09,6.73,7.14
,,All India,98.77,93.54,101.49,93.92,96.92,86.24
,Tobacco,Gujarat,,,4.52,4.47,4.20,
,,Andhra Pradesh,,,1.32,1.18,2.00,
,,Uttar Pradesh,,,1.23,0.93,1.28,
,,All India,,,8.18,7.70,8.66,
,Sannhemp,Odisha,,,0.37,0.28,0.28,
,,Uttar Pradesh,,,0.03,0.07,0.07,
,,Bihar,,,0.03,0.03,0.03,
,,All India,,,0.51,0.46,0.40,
,Guarseed,Rajasthan,,,10.03,16.15,14.79,
,,Haryana,,,0.91,0.90,0.96,
,,Gujarat,,,0.75,0.74,0.82,
,,All India,,,11.83,17.87,16.65,
Data for the year 2024-25 is of 2?? Advance Estimates,,,,,,,,
"# Cotton Production in Bales, 1Bale=170 Kg",,,,,,,,
"## Jute, Sannhemp & Mesta Production in Bales, 1Bale=180 Kg",,,,,,,,
Top states are calculated based on 2023-24 Final Estimate,,,,,,,,
