"TABLE 60: STATE-WISE PRODUCTION OF FOODGRAINS - RICE
(Thousand Tonnes)",,,,,,,,,
State/Union Territory,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
Andhra Pradesh,9601,11704,11872,13324,14241,10538,7882.4,7746.2,6862.4
Arunachal Pradesh,135,146.2,146.2,158.1,163.9,215.8,234,255,263
Assam,3470.7,3552.5,2916,3319,4008.5,4335.9,4736.6,4516.3,5128.5
Bihar,2472.2,3495.5,4989.3,4418.1,5590.3,3599.3,3102.1,7162.6,7529.3
Chhattisgarh,4383.3,5011.6,5041.4,5426.6,4391.8,4110.4,6159,6028.4,6608.8
NCT of Delhi,14.3,24,31.1,31.4,31.4,19.3,19.6,19.8,19.7
Goa,145.2,147.3,130.3,121.6,123.3,100.6,115,121.8,122.8
Gujarat,1238.2,1298,1390,1474,1303,1292,1496.6,1790,1541
Haryana,3023,3210,3371,3613,3298,3625,3472,3759,3976
Himachal Pradesh,122,112.1,123.5,121.5,118.3,105.9,128.9,131.6,125.3
Jammu & Kashmir,492.2,556.8,554,561.3,563.1,497.4,507.7,544.7,818.1
Jharkhand,1677,1558,2967.8,3336.4,3420.2,1538.4,1110,3130.6,3164.9
Karnataka,3547,5744,3446,3717,3802,3691,4188,3955,3364
Kerala,667.1,629.9,631,528.5,590.3,598.3,522.7,569,508.3
Madhya Pradesh,1169,1656.3,1368.4,1461.9,1559.7,1260.6,1772.1,2227.3,2775
Maharashtra,2164,2695,2569,2996,2284,2183,2696,2841,3057
Manipur,435.9,386.1,386.1,406.2,397,319.9,521.7,591,257.6
Meghalaya,193.7,151.9,200.2,200,203.9,206.7,207,216.5,232
Mizoram,104.1,99.2,29.5,15.7,46,44.3,47.2,54.3,30.5
Nagaland,259.8,263.1,263.5,290.6,345.1,240.3,381.4,382.4,405.2
Odisha,6466,6859,6824.7,7540.7,6812.7,6917.5,6827.7,5807,7295.5
Puducherry,65.7,59.9,59.9,53.4,50.8,52.4,52,42.1,46.5
Punjab,10437,10193,10138,10489,11000,11236,10837,10542,11374
Rajasthan,150.4,153,169.8,259.6,241.1,228.3,265.5,253.4,222.5
Sikkim,21.6,21.5,21.5,22.9,21.7,24.3,21,20.9,21.3
Tamil Nadu,5062.2,5220,6610.6,5040.2,5182.7,5665.2,5792.4,7458.7,4049.9
Telangana,.,.,.,.,.,.,6535.6,5148.8,4647.6
Tripura,545.1,552.9,620.5,624.6,627.1,640,702.5,718.3,713.2
Uttar Pradesh,9555.6,11133.7,11124,11780,13097,10807.1,11992,14022,14416
Uttarakhand,572,590,556,593,582,608,550.4,594,579.8
West Bengal,14884.8,14510.8,14745.9,14719.5,15037.3,14340.7,13045.9,14605.8,15023.7
ALL INDIA,83131.7,91793.4,93355.3,96692.9,99182.5,89092.9,95979.8,105310.9,105231.6
