State wise production,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,State/UT,RMS 2020-21,RMS 2021-22,RMS 2022-23
,,,,,,,,,(Crop Vear,(Crop Year,(Crop Year
,,,,,,,,,2019-20),2020-21),2021-22)
,,,,,,,,Andhra Pradesh,0,0,0
,,,,,,,,Arunaehal Pradesh,0.07,0.08,0.08
,,,,,,,,Assa m,0.14,o. 13,0.11
,,,,,,,,Bihar,55.8,61.5,62.24
,,,,,,,,Chhattisgarh,1.15,2.48,1.92
,,,,,,,,Goa,0,0,0
,,,,,,,,Gujarat,33.27,32.59,33.33
,,,,,,,,Ilaryana,118.76,123.94,104.47
,,,,,,,,Himachal Pradesh,5.63,5.7,5.49
,,,,,,,,Jammu & Kashmir,4.88,4.84,5.84
,,,,,,,,Jharkhand,4.39,5.44,5.19
,,,,,,,,Karnataka,,2.62,2.12
,,,,,,,,Kerala,0,0,0
,,,,,,,,Madh a Pradesh,196.07,181.82,229.78
,,,,,,,,Maharashtra,17.94,20.71,21.44
,,,,,,,,Manipur,0.0575,0.0583,0.0565
,,,,,,,,Meghalaya,0.009,0.009,0.009
,,,,,,,,Nagaland,0.0628,0.0629,0.0235
,,,,,,,,Odisha,0.0017,0.003,0.0031
,,,,,,,,Punjab,176.16,171.86,148.61
,,,,,,,,Rajasthan,109.16,1 10.35,"100,96"
,,,,,,,,Sikkim,0.0018,0.0012,0.0012
,,,,,,,,Tamil Nadu,0,0,0
,,,,,,,,Telangana,0.0921,0.1584,0.1406
,,,,,,,,Tripura,0.0033,o .0006,0.0006
,,,,,,,,U ttar Pradesh,338.15,355.07,339.5
,,,,,,,,Uttarakhand,9.04,9.55,8.63
,,,,,,,,West Bengal,5.1,5.95,6.56
,,,,,,,,D & N Haveli,0.0012,0,0
,,,,,,,,Daman & Diu,0,0,0
,,,,,,,,UT ofLadakh,o.oooo,0.0717,0.0704
,,,,,,,,Delhi,0.8287,0.8362,0.8141
,,,,,,,,Chandigarh,0.0246,0.0246,0.0274
,,,,,,,,All India,1078.61,1095.86,1077.42
,,,,,,,,,,,
,,,,,,,,,,,
Year wise Production,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,2014/2015,"30,473","95,850",3.15,
,,,,,,,2015/2016,"31,466","86,527",2.75,
,,,,,,,2016/2017,"30,220","87,000",2.88,
,,,,,,,2017/2018,"30,785","98,510",3.2,
,,,,,,,2018/2019,"29,651","99,870",3.37,
,,,,,,,2019/2020,"29,319","1,03,600",3.53,
,,,,,,,2020/2021,"31,357","1,07,860",3.44,
,,,,,,,2021/2022,"31,125","1,09,586",3.52,
,,,,,,,2022/2023,"30,459","1,04,000",3.41,
,,,,,,,2023/2024,"31,401","1,10,554",3.52,
,,,,,,,2024/2025,"31,833","1,13,292",3.56,
,,,,,,,5-year Average 2019/20 - 2023/24,"30,732","1,07,120",3.49,
